Word,Unit,Qty,Srv,Ing
onions,B-Unit,O,O,B-Ing
1,O,B-Qty,O,O
can,O,O,O,B-Ing
tomatoes,O,O,O,I-Ing
1,O,B-Qty,O,O
lb,B-Unit,O,O,O
.,O,O,O,O
chopped,O,O,O,B-Ing
beef,O,O,O,I-Ing
salt,O,O,O,B-Ing
and,O,O,O,O
pa,O,O,O,B-Ing
##pr,O,O,O,I-Ing
##ika,O,O,O,I-Ing
1,O,B-Qty,O,O
tables,B-Unit,O,O,O
##poo,I-Unit,O,O,O
##n,I-Unit,O,O,O
worcestershire,O,O,O,B-Ing
sauce,O,O,O,I-Ing
cook,O,O,O,O
an,O,O,O,O
hour,O,O,O,O
;,O,O,O,O
mix,O,O,O,O
with,O,O,O,O
spaghetti,O,O,O,O
.,O,O,O,O
put,O,O,O,O
on,O,O,O,O
platt,O,O,O,O
##er,O,O,O,O
.,O,O,O,O
sp,O,O,O,O
##rin,O,O,O,O
##kle,O,O,O,O
with,O,O,O,O
cheese,O,O,O,O
.,O,O,O,O
put,O,O,O,O
in,O,O,O,O
oven,O,O,O,O
till,O,O,O,O
cheese,O,O,O,O
is,O,O,O,O
melted,O,O,O,O
.,O,O,O,O
serves,O,O,O,O
eight,O,O,O,O
.,O,O,O,O
ella,O,O,O,O
brown,O,O,O,O
evans,O,O,O,O
##ton,O,O,O,O
illinois,O,O,O,O
.,O,O,O,O
northwestern,O,O,O,O
university,O,O,O,O
.,O,O,O,O
mac,O,O,O,O
##aro,O,O,O,O
##ni,O,O,O,O
cr,O,O,O,O
##o,O,O,O,O
##quette,O,O,O,O
##s,O,O,O,O
4,O,B-Qty,O,O
tables,B-Unit,O,O,O
##poo,I-Unit,O,O,O
##ns,I-Unit,O,O,O
gr,O,O,O,B-Ing
##ated,O,O,O,I-Ing
cheese,O,O,O,I-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
2,O,I-Qty,O,O
cup,B-Unit,O,O,O
chopped,O,O,O,B-Ing
ham,O,O,O,I-Ing
2,O,B-Qty,O,O
cups,B-Unit,O,O,O
boiled,O,O,O,B-Ing
mac,O,O,O,I-Ing
##aro,O,O,O,I-Ing
##ni,O,O,O,I-Ing
mix,O,O,O,O
with,O,O,O,O
sauce,O,O,O,O
.,O,O,O,O
pour,O,O,O,O
on,O,O,O,O
butter,O,O,O,O
##ed,O,O,O,O
platt,O,O,O,O
##er,O,O,O,O
and,O,O,O,O
let,O,O,O,O
cool,O,O,O,O
several,O,O,O,O
hours,O,O,O,O
.,O,O,O,O
cut,O,O,O,O
into,O,O,O,O
squares,O,O,O,O
and,O,O,O,O
fry,O,O,O,O
in,O,O,O,O
deep,O,O,O,O
fat,O,O,O,O
.,O,O,O,O
sauce,O,O,O,O
1,O,B-Qty,O,O
tea,B-Unit,O,O,O
##sp,I-Unit,O,O,O
##oon,I-Unit,O,O,O
butter,O,O,O,B-Ing
1,O,B-Qty,O,O
tea,B-Unit,O,O,O
##sp,I-Unit,O,O,O
##oon,I-Unit,O,O,O
flour,O,O,O,B-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
3,O,I-Qty,O,O
cup,B-Unit,O,O,O
sweet,O,O,O,B-Ing
milk,O,O,O,I-Ing
cook,O,O,O,O
until,O,O,O,O
thick,O,O,O,O
and,O,O,O,O
season,O,O,O,O
.,O,O,O,O
(,O,O,O,O
serves,O,O,O,O
four,O,O,O,O
.,O,O,O,O
),O,O,O,O
frances,O,O,O,O
morris,O,O,O,O
co,O,O,O,O
##rval,O,O,O,O
##lis,O,O,O,O
ore,O,O,O,O
.,O,O,O,O
oregon,O,O,O,O
agricultural,O,O,O,O
college,O,O,O,O
.,O,O,O,O
mac,O,O,O,O
##aro,O,O,O,O
##ni,O,O,O,O
or,O,O,O,O
spaghetti,O,O,O,O
with,O,O,O,O
tomato,O,O,O,O
sauce,O,O,O,O
1,O,B-Qty,O,O
package,B-Unit,O,O,O
of,O,O,O,O
mac,O,O,O,B-Ing
##aro,O,O,O,I-Ing
##ni,O,O,O,I-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
4,O,I-Qty,O,O
pound,B-Unit,O,O,O
of,O,O,O,O
bacon,O,O,O,B-Ing
1,O,B-Qty,O,O
onion,B-Unit,O,O,B-Ing
(,O,O,O,O
cut,O,O,O,O
fine,O,O,O,O
),O,O,O,O
1,O,B-Qty,O,O
green,B-Unit,O,O,B-Ing
pepper,I-Unit,O,O,I-Ing
(,O,O,O,O
cut,O,O,O,O
fine,O,O,O,O
),O,O,O,O
1,O,B-Qty,O,O
small,B-Unit,O,O,O
can,I-Unit,O,O,O
of,O,O,O,O
tomatoes,O,O,O,B-Ing
pinch,B-Unit,O,O,O
of,O,O,O,O
sugar,O,O,O,B-Ing
salt,O,O,O,B-Ing
and,O,O,O,O
pepper,O,O,O,B-Ing
to,O,O,O,O
taste,O,O,O,O
1,O,B-Qty,O,O
tables,B-Unit,O,O,O
##poo,I-Unit,O,O,O
##n,I-Unit,O,O,O
flour,O,O,O,B-Ing
1,O,B-Qty,O,O
tables,B-Unit,O,O,O
##poo,I-Unit,O,O,O
##n,I-Unit,O,O,O
butter,O,O,O,B-Ing
cook,O,O,O,O
mac,O,O,O,O
##aro,O,O,O,O
##ni,O,O,O,O
or,O,O,O,O
spaghetti,O,O,O,O
in,O,O,O,O
rapidly,O,O,O,O
boiling,O,O,O,O
salt,O,O,O,O
##ed,O,O,O,O
water,O,O,O,O
until,O,O,O,O
tender,O,O,O,O
;,O,O,O,O
drain,O,O,O,O
ri,O,O,O,O
##nse,O,O,O,O
in,O,O,O,O
cold,O,O,O,O
water,O,O,O,O
and,O,O,O,O
drain,O,O,O,O
again,O,O,O,O
.,O,O,O,O
in,O,O,O,O
another,O,O,O,O
pan,O,O,O,O
fry,O,O,O,O
the,O,O,O,O
finely,O,O,O,O
cut,O,O,O,O
bacon,O,O,O,O
;,O,O,O,O
add,O,O,O,O
the,O,O,O,O
onions,O,O,O,O
and,O,O,O,O
green,O,O,O,O
pepper,O,O,O,O
and,O,O,O,O
fry,O,O,O,O
again,O,O,O,O
.,O,O,O,O
add,O,O,O,O
the,O,O,O,O
tomatoes,O,O,O,O
salt,O,O,O,O
and,O,O,O,O
pepper,O,O,O,O
to,O,O,O,O
taste,O,O,O,O
and,O,O,O,O
sugar,O,O,O,O
to,O,O,O,O
this,O,O,O,O
mixture,O,O,O,O
and,O,O,O,O
let,O,O,O,O
come,O,O,O,O
to,O,O,O,O
a,O,O,O,O
boil,O,O,O,O
.,O,O,O,O
when,O,O,O,O
boiling,O,O,O,O
add,O,O,O,O
to,O,O,O,O
it,O,O,O,O
a,O,O,O,O
gr,O,O,O,O
##av,O,O,O,O
##y,O,O,O,O
made,O,O,O,O
of,O,O,O,O
the,O,O,O,O
flour,O,O,O,O
butter,O,O,O,O
and,O,O,O,O
sufficient,O,O,O,O
water,O,O,O,O
to,O,O,O,O
make,O,O,O,O
it,O,O,O,O
smooth,O,O,O,O
.,O,O,O,O
pour,O,O,O,O
this,O,O,O,O
mixture,O,O,O,O
made,O,O,O,O
in,O,O,O,O
the,O,O,O,O
fry,O,O,O,O
##ing,O,O,O,O
pan,O,O,O,O
over,O,O,O,O
the,O,O,O,O
mac,O,O,O,O
##aro,O,O,O,O
##ni,O,O,O,O
or,O,O,O,O
spaghetti,O,O,O,O
.,O,O,O,O
(,O,O,O,O
serves,O,O,O,O
eight,O,O,O,O
.,O,O,O,O
),O,O,O,O
myrtle,O,O,O,O
meyer,O,O,O,O
chicago,O,O,O,O
iii,O,O,O,O
.,O,O,O,O
northwestern,O,O,O,O
university,O,O,O,O
.,O,O,O,O
spanish,O,O,O,O
rice,O,O,O,O
fry,O,O,O,O
several,O,O,O,O
two,O,O,O,O
tables,B-Unit,O,O,O
##poo,I-Unit,O,O,O
##ns,I-Unit,O,O,O
rice,O,O,O,B-Ing
1,O,B-Qty,O,O
onion,O,O,O,B-Ing
sliced,O,O,O,I-Ing
and,O,O,O,O
two,O,B-Qty,O,O
tables,B-Unit,O,O,O
##poo,I-Unit,O,O,O
##ns,I-Unit,O,O,O
butter,O,O,O,B-Ing
one,O,B-Qty,O,O
pin,B-Unit,O,O,O
##t,I-Unit,O,O,O
of,O,O,O,O
tomatoes,O,O,O,B-Ing
and,O,O,O,O
one,O,B-Qty,O,O
green,O,O,O,B-Ing
pepper,O,O,O,I-Ing
and,O,O,O,O
season,O,O,O,O
.,O,O,O,O
ba,O,O,O,O
##ke,O,O,O,O
until,O,O,O,O
rice,O,O,O,O
is,O,O,O,O
soft,O,O,O,O
.,O,O,O,O
virginia,O,O,O,O
stevenson,O,O,O,O
mer,O,O,O,O
##sho,O,O,O,O
##n,B-Unit,O,O,O
pittsburgh,O,O,O,O
pa,O,O,O,O
.,O,O,O,O
syracuse,O,O,O,O
university,O,O,O,O
.,O,O,O,O
c,O,O,O,O
o,O,O,O,O
l,O,O,O,O
l,O,O,O,O
e,O,O,O,O
g,O,O,O,O
e,O,O,O,O
w,O,O,O,O
o,O,O,O,O
m,O,O,O,O
a,O,O,O,O
n,O,O,O,O
s,O,O,O,O
c,O,O,O,O
o,O,O,O,O
o,O,O,O,O
k,O,O,O,O
b,O,O,O,O
o,O,O,O,O
o,O,O,O,O
k,O,O,O,O
31,O,O,O,O
mac,O,O,O,O
##aro,O,O,O,O
##ni,O,O,O,O
loaf,O,O,O,O
1,O,B-Qty,O,O
cup,B-Unit,O,O,O
hot,O,O,O,B-Ing
milk,O,O,O,I-Ing
1,O,B-Qty,O,O
cup,B-Unit,O,O,O
bread,O,O,O,B-Ing
cr,O,O,O,I-Ing
##umb,O,O,O,I-Ing
##s,O,O,O,I-Ing
1,O,B-Qty,O,O
cup,B-Unit,O,O,O
cooked,O,O,O,B-Ing
mac,O,O,O,I-Ing
##aro,O,O,O,I-Ing
##ni,O,O,O,I-Ing
1,O,B-Qty,O,O
cup,B-Unit,O,O,O
gr,O,O,O,B-Ing
##ated,O,O,O,I-Ing
cheese,O,O,O,I-Ing
fine,O,O,O,O
1,O,B-Qty,O,O
green,B-Unit,O,O,B-Ing
pepper,I-Unit,O,O,I-Ing
cut,O,O,O,O
fine,O,O,O,O
salt,O,O,O,B-Ing
3,O,B-Qty,O,O
well,O,O,O,O
beaten,O,O,O,O
eggs,O,O,O,B-Ing
ba,O,O,O,O
##ke,O,O,O,O
in,O,O,O,O
a,O,O,O,O
pan,O,O,O,O
set,O,O,O,O
in,O,O,O,O
another,O,O,O,O
pan,O,O,O,O
of,O,O,O,O
hot,O,O,O,O
water,O,O,O,O
as,O,O,O,O
for,O,O,O,O
cu,O,O,O,O
##star,O,O,O,O
##ds,O,O,O,O
.,O,O,O,O
pi,O,O,O,O
##men,O,O,O,O
-,O,O,O,O
toes,O,O,O,O
and,O,O,O,O
par,O,O,O,O
##sley,O,O,O,O
may,O,O,O,O
be,O,O,O,O
added,O,O,O,O
if,O,O,O,O
desired,O,O,O,O
.,O,O,O,O
serve,O,O,O,O
with,O,O,O,O
tomato,O,O,O,O
sauce,O,O,O,O
or,O,O,O,O
mushroom,O,O,O,O
sauce,O,O,O,O
.,O,O,O,O
eliza,O,O,O,O
dick,O,O,O,O
##ey,O,O,O,O
manning,O,O,O,O
way,O,O,O,O
##za,O,O,O,O
##ta,O,O,O,O
min,O,O,O,O
##n,O,O,O,O
.,O,O,O,O
university,O,O,O,O
of,O,O,O,O
minnesota,O,O,O,O
stuffed,O,O,O,O
green,O,O,O,O
peppers,O,O,O,O
10,O,B-Qty,O,O
good,B-Unit,O,O,O
sized,I-Unit,O,O,O
peppers,I-Unit,O,O,B-Ing
with,O,O,O,O
2,O,B-Qty,O,O
large,B-Unit,O,O,O
ears,I-Unit,O,O,O
of,O,O,O,O
corn,O,O,O,B-Ing
tops,O,O,O,O
cut,O,O,O,O
off,O,O,O,O
1,O,B-Qty,O,O
onion,B-Unit,O,O,B-Ing
4,O,B-Qty,O,O
medium,B-Unit,O,O,O
-,I-Unit,O,O,O
sized,I-Unit,O,O,O
tomatoes,O,O,O,B-Ing
handful,B-Qty,O,O,O
of,O,O,O,O
bread,O,O,O,B-Ing
cr,O,O,O,I-Ing
##umb,O,O,O,I-Ing
##s,O,O,O,I-Ing
1,O,B-Qty,O,O
tables,B-Unit,O,O,O
##poo,I-Unit,O,O,O
##n,I-Unit,O,O,O
butter,O,O,O,B-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
3,O,I-Qty,O,O
pound,B-Unit,O,O,O
of,O,O,O,O
hamburg,O,O,O,B-Ing
steak,O,O,O,I-Ing
season,O,O,O,O
to,O,O,O,O
suit,O,O,O,O
taste,O,O,O,O
with,O,O,O,O
pepper,O,O,O,O
and,O,O,O,O
salt,O,O,O,O
chop,O,O,O,O
the,O,O,O,O
onions,O,O,O,O
tomatoes,O,O,O,O
and,O,O,O,O
pepper,O,O,O,O
fine,O,O,O,O
.,O,O,O,O
mix,O,O,O,O
all,O,O,O,O
together,O,O,O,O
.,O,O,O,O
make,O,O,O,O
about,O,O,O,O
the,O,O,O,O
consistency,O,O,O,O
of,O,O,O,O
turkey,O,O,O,O
dressing,O,O,O,O
.,O,O,O,O
serve,O,O,O,O
with,O,O,O,O
tomato,O,O,O,O
sauce,O,O,O,O
gr,O,O,O,O
##ated,O,O,O,O
cheese,O,O,O,O
and,O,O,O,O
ripe,O,O,O,O
olive,O,O,O,O
##s,O,O,O,O
.,O,O,O,O
alice,O,O,O,O
m,O,O,O,O
.,O,O,O,O
johns,O,O,O,O
berkeley,O,O,O,O
cal,O,O,O,O
##if,O,O,O,O
.,O,O,O,O
university,O,O,O,O
of,O,O,O,O
california,O,O,O,O
.,O,O,O,O
vegetable,O,O,O,O
loaf,O,O,O,O
(,O,O,O,O
left,O,O,O,O
##overs,O,O,O,O
),O,O,O,O
essential,O,O,O,O
##s,O,O,O,O
1,O,B-Qty,O,O
cup,B-Unit,O,O,O
cooked,O,O,O,B-Ing
tomatoes,O,O,O,I-Ing
1,O,B-Qty,O,O
egg,B-Unit,O,O,B-Ing
1,O,B-Qty,O,O
tea,B-Unit,O,O,O
##sp,I-Unit,O,O,O
##oon,I-Unit,O,O,O
each,O,O,O,O
salt,O,O,O,B-Ing
and,O,O,O,O
sage,O,O,O,B-Ing
1,O,B-Qty,O,O
cup,B-Unit,O,O,O
un,O,O,O,B-Ing
##co,O,O,O,I-Ing
##oked,O,O,O,I-Ing
sausage,O,O,O,I-Ing
.,O,O,O,O
ba,O,O,O,O
##ke,O,O,O,O
about,O,O,O,O
one,O,O,O,O
hour,O,O,O,O
.,O,O,O,O
vest,O,O,O,O
eleanor,O,O,O,O
sv,O,O,O,O
##ob,O,O,O,O
##oda,O,O,O,O
cedar,O,O,O,O
rapids,O,O,O,O
ia,O,O,O,O
.,O,O,O,O
coe,O,O,O,O
college,O,O,O,O
.,O,O,O,O
cream,O,O,O,O
##ed,O,O,O,O
ca,O,O,O,O
##uli,O,O,O,O
##flower,O,O,O,O
with,O,O,O,O
ham,O,O,O,O
1,O,B-Qty,O,O
head,B-Unit,O,O,O
of,I-Unit,O,O,O
ca,I-Unit,O,O,B-Ing
##uli,I-Unit,O,O,I-Ing
##flower,I-Unit,O,O,I-Ing
3,O,B-Qty,O,O
well,O,O,O,O
beaten,O,O,O,O
eggs,B-Unit,O,O,B-Ing
2,O,B-Qty,O,O
cups,B-Unit,O,O,O
of,O,O,O,O
white,O,O,O,B-Ing
sauce,O,O,O,I-Ing
3,O,B-Qty,O,O
/,O,I-Qty,O,O
4,O,I-Qty,O,O
cup,B-Unit,O,O,O
of,O,O,O,O
finely,O,O,O,B-Ing
chopped,O,O,O,I-Ing
cooked,O,O,O,I-Ing
ham,O,O,O,I-Ing
trim,O,O,O,O
the,O,O,O,O
ca,O,O,O,O
##uli,O,O,O,O
##flower,O,O,O,O
and,O,O,O,O
boil,O,O,O,O
it,O,O,O,O
in,O,O,O,O
boiling,O,O,O,O
salt,O,O,O,O
##ed,O,O,O,O
water,O,O,O,O
until,O,O,O,O
it,O,O,O,O
is,O,O,O,O
tender,O,O,O,O
;,O,O,O,O
drain,O,O,O,O
and,O,O,O,O
rub,O,O,O,O
through,O,O,O,O
a,O,O,O,O
si,O,O,O,O
##eve,O,O,O,O
.,O,O,O,O
add,O,O,O,O
the,O,O,O,O
eggs,O,O,O,O
and,O,O,O,O
one,O,O,O,O
cup,O,O,O,O
-,O,O,O,O
fu,O,O,O,O
##l,O,O,O,O
of,O,O,O,O
the,O,O,O,O
white,O,O,O,O
sauce,O,O,O,O
to,O,O,O,O
the,O,O,O,O
ca,O,O,O,O
##uli,O,O,O,O
##flower,O,O,O,O
and,O,O,O,O
pour,O,O,O,O
the,O,O,O,O
mixture,O,O,O,O
into,O,O,O,O
a,O,O,O,O
butter,O,O,O,O
##ed,O,O,O,O
mold,O,O,O,O
.,O,O,O,O
ba,O,O,O,O
##ke,O,O,O,O
until,O,O,O,O
firm,O,O,O,O
.,O,O,O,O
turn,O,O,O,O
out,O,O,O,O
on,O,O,O,O
a,O,O,O,O
hot,O,O,O,O
flat,O,O,O,O
dish,O,O,O,O
cover,O,O,O,O
with,O,O,O,O
remainder,O,O,O,O
of,O,O,O,O
the,O,O,O,O
sauce,O,O,O,O
and,O,O,O,O
sp,O,O,O,O
##rin,O,O,O,O
##kle,O,O,O,O
over,O,O,O,O
with,O,O,O,O
the,O,O,O,O
ham,O,O,O,O
.,O,O,O,O
louise,O,O,O,O
browne,O,O,O,O
##ll,O,O,O,O
cedar,O,O,O,O
rapids,O,O,O,O
ia,O,O,O,O
.,O,O,O,O
coe,O,O,O,O
college,O,O,O,O
.,O,O,O,O
c,O,O,O,O
o,O,O,O,O
l,O,O,O,O
l,O,O,O,O
e,O,O,O,O
g,O,O,O,O
e,O,O,O,O
w,O,O,O,O
o,O,O,O,O
m,O,O,O,O
a,O,O,O,O
n,O,O,O,O
s,O,O,O,O
c,O,O,O,O
o,O,O,O,O
o,O,O,O,O
k,O,O,O,O
b,O,O,O,O
o,O,O,O,O
o,O,O,O,O
k,O,O,O,O
32,O,O,O,O
beans,O,O,O,O
a,O,O,O,O
la,O,O,O,O
tomato,O,O,O,O
1,O,B-Qty,O,O
pin,B-Unit,O,O,O
##t,I-Unit,O,O,O
navy,O,O,O,B-Ing
beans,O,O,O,I-Ing
1,O,B-Qty,O,O
tables,B-Unit,O,O,O
##poo,I-Unit,O,O,O
##n,I-Unit,O,O,O
sugar,O,O,O,B-Ing
1,O,B-Qty,O,O
pin,B-Unit,O,O,O
##t,I-Unit,O,O,O
tomatoes,O,O,O,B-Ing
1,O,B-Qty,O,O
onion,B-Unit,O,O,B-Ing
1,O,B-Qty,O,O
cup,B-Unit,O,O,O
cream,O,O,O,B-Ing
salt,O,O,O,B-Ing
pepper,O,O,O,B-Ing
pour,O,O,O,O
off,O,O,O,O
most,O,O,O,O
of,O,O,O,O
the,O,O,O,O
water,O,O,O,O
after,O,O,O,O
cooking,O,O,O,O
beans,O,O,O,O
.,O,O,O,O
add,O,O,O,O
other,O,O,O,O
ing,O,O,O,O
##re,O,O,O,O
-,O,O,O,O
die,O,O,O,O
##nts,O,O,O,O
salt,O,O,O,O
and,O,O,O,O
pepper,O,O,O,O
to,O,O,O,O
taste,O,O,O,O
.,O,O,O,O
cook,O,O,O,O
all,O,O,O,O
together,O,O,O,O
till,O,O,O,O
onion,O,O,O,O
is,O,O,O,O
tender,O,O,O,O
.,O,O,O,O
brown,O,O,O,O
in,O,O,O,O
oven,O,O,O,O
.,O,O,O,O
(,O,O,O,O
serves,O,O,O,O
six,O,O,O,O
.,O,O,O,O
),O,O,O,O
vest,O,O,O,O
marion,O,O,O,O
span,O,O,O,O
##gler,O,O,O,O
bradford,O,O,O,O
pa,O,O,O,O
.,O,O,O,O
allegheny,O,O,O,O
college,O,O,O,O
.,O,O,O,O
corn,O,O,O,O
tam,O,O,O,O
##ale,O,O,O,O
1,O,B-Qty,O,O
can,B-Unit,O,O,O
corn,O,O,O,B-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
2,O,I-Qty,O,O
can,B-Unit,O,O,O
tomatoes,O,O,O,B-Ing
1,O,B-Qty,O,O
cup,B-Unit,O,O,O
yellow,O,O,O,B-Ing
corn,O,O,O,I-Ing
##me,O,O,O,I-Ing
##al,O,O,O,I-Ing
1,O,B-Qty,O,O
bottle,B-Unit,O,O,O
stuffed,O,O,O,B-Ing
olive,O,O,O,I-Ing
##s,O,O,O,I-Ing
1,O,B-Qty,O,O
cup,B-Unit,O,O,O
milk,O,O,O,B-Ing
1,O,B-Qty,O,O
cl,B-Unit,O,O,O
##ove,I-Unit,O,O,O
garlic,O,O,O,B-Ing
salt,O,O,O,B-Ing
to,O,O,O,O
taste,O,O,O,O
mix,O,O,O,O
and,O,O,O,O
ba,O,O,O,O
##ke,O,O,O,O
one,O,O,O,O
hour,O,O,O,O
in,O,O,O,O
moderate,O,O,O,O
oven,O,O,O,O
.,O,O,O,O
alice,O,O,O,O
m,O,O,O,O
.,O,O,O,O
johns,O,O,O,O
berkeley,O,O,O,O
cal,O,O,O,O
##if,O,O,O,O
.,O,O,O,O
university,O,O,O,O
of,O,O,O,O
california,O,O,O,O
.,O,O,O,O
vegetable,O,O,O,O
chop,O,O,O,O
sue,O,O,O,O
##y,O,O,O,O
1,O,B-Qty,O,O
cup,B-Unit,O,O,O
spaghetti,O,O,O,B-Ing
1,O,B-Qty,O,O
can,B-Unit,O,O,O
tomatoes,O,O,O,B-Ing
1,O,B-Qty,O,O
large,B-Unit,O,O,O
onion,I-Unit,O,O,B-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
2,O,I-Qty,O,O
cup,B-Unit,O,O,O
ce,O,O,O,B-Ing
##ler,O,O,O,I-Ing
##y,O,O,O,I-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
2,O,I-Qty,O,O
cup,B-Unit,O,O,O
meat,O,O,O,B-Ing
boil,O,O,O,O
spaghetti,O,O,O,O
in,O,O,O,O
salt,O,O,O,O
##ed,O,O,O,O
water,O,O,O,O
until,O,O,O,O
tender,O,O,O,O
.,O,O,O,O
drain,O,O,O,O
and,O,O,O,O
ri,O,O,O,O
##nse,O,O,O,O
with,O,O,O,O
cold,O,O,O,O
water,O,O,O,O
.,O,O,O,O
add,O,O,O,O
to,O,O,O,O
remainder,O,O,O,O
of,O,O,O,O
mixture,O,O,O,O
which,O,O,O,O
has,O,O,O,O
been,O,O,O,O
prepared,O,O,O,O
in,O,O,O,O
meantime,O,O,O,O
.,O,O,O,O
put,O,O,O,O
in,O,O,O,O
